date,product,type,amount,price,shares,fee,notes
2020-02-18,519674,buy,100.0,5.8071,17.19,0.15,银河创新成长混合A
2020-02-27,519674,buy,50.0,5.9813,8.35,0.07,银河创新成长混合A
2020-03-09,519674,buy,10.0,5.181,1.93,0.01,银河创新成长混合A
2020-03-10,519674,buy,20.0,5.494,3.63,0.03,银河创新成长混合A
2020-03-10,519674,buy,10.0,5.494,1.82,0.01,银河创新成长混合A
2020-03-16,519674,buy,20.0,4.899,4.08,0.03,银河创新成长混合A
2020-03-23,519674,buy,20.0,4.6149,4.33,0.03,银河创新成长混合A
2020-03-25,519674,buy,15.0,4.7918,3.13,0.02,银河创新成长混合A
2020-04-10,519674,buy,25.0,4.6713,5.34,0.04,银河创新成长混合A
2020-04-14,519674,buy,10.0,4.6792,2.13,0.01,银河创新成长混合A
2020-05-12,519674,buy,15.0,5.4657,2.74,0.02,银河创新成长混合A
2020-05-22,519674,buy,50.0,5.2947,9.43,0.07,银河创新成长混合A
2020-06-12,519674,buy,15.0,5.4243,2.76,0.02,银河创新成长混合A
2020-07-14,519674,buy,20.0,7.3127,2.73,0.03,银河创新成长混合A
2020-07-16,519674,buy,10.0,6.3389,1.58,0.01,银河创新成长混合A
2020-07-24,519674,buy,50.0,6.0624,8.24,0.07,银河创新成长混合A
2020-07-27,519674,buy,15.0,6.018,2.49,0.02,银河创新成长混合A
2020-09-09,519674,buy,20.0,5.3051,3.76,0.03,银河创新成长混合A
2021-03-04,519674,buy,50.0,6.0047,8.32,0.07,银河创新成长混合A
2021-03-15,519674,buy,60.0,5.2455,11.42,0.09,银河创新成长混合A
2021-05-25,519674,sell,59.86,6.0012,10.0,0.15,银河创新成长混合A
2021-06-30,519674,sell,235.77,7.433,31.8,0.6,银河创新成长混合A
2021-07-27,519674,sell,81.89,8.2094,10.0,0.2,银河创新成长混合A
2021-09-10,519674,sell,77.78,7.7974,10.0,0.19,银河创新成长混合A
2024-04-18,519674,buy,50.0,3.8173,13.08,0.07,银河创新成长混合A
2024-10-10,519674,sell,101.34,5.3645,18.89,0.0,银河创新成长混合A
2024-10-22,519674,sell,108.63,5.7478,18.9,0.0,银河创新成长混合A
