date,product,type,amount,price,shares,fee,notes
2025-02-20,019548,buy,100.0,1.2649,79.06,0.0,招商纳斯达克100ETF发起式联接(QDII)C
2025-02-24,019548,buy,100.0,1.2265,81.53,0.0,招商纳斯达克100ETF发起式联接(QDII)C
2025-03-25,019548,buy,100.0,1.1726,85.28,0.0,招商纳斯达克100ETF发起式联接(QDII)C
2025-04-01,019548,sell,277.15,1.1262,247.39,1.46,招商纳斯达克100ETF发起式联接(QDII)C
2026-04-09,019548,buy,25.0,1.3517,18.5,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每周定投
2026-04-16,019548,buy,25.0,1.4131,17.69,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每周定投
2026-04-23,019548,buy,25.0,1.436,17.41,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每周定投
2026-04-30,019548,buy,25.0,1.4689,17.02,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每周定投
2026-05-07,019548,buy,25.0,1.5219,16.43,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每周定投
2026-05-14,019548,buy,25.0,1.5711,15.91,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每周定投
2026-05-21,019548,buy,25.0,1.5593,16.03,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每周定投
2026-05-28,019548,buy,25.0,1.6001,15.62,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每周定投
2026-06-04,019548,buy,25.0,1.6086,15.54,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每周定投
2026-06-10,019548,buy,10.0,1.5143,6.6,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-06-11,019548,buy,25.0,1.5601,16.02,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每周定投
2026-06-11,019548,buy,10.0,1.5601,6.41,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-06-12,019548,buy,10.0,1.5685,6.38,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-06-15,019548,buy,10.0,1.6123,6.2,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-06-16,019548,buy,10.0,1.5846,6.31,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-06-17,019548,buy,10.0,1.5701,6.37,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-06-18,019548,buy,25.0,1.6073,15.55,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每周定投
2026-06-18,019548,buy,10.0,1.6073,6.22,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-06-22,019548,buy,10.0,1.6051,6.23,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-06-23,019548,buy,10.0,1.5574,6.42,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-06-24,019548,buy,10.0,1.552,6.44,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-06-25,019548,buy,25.0,1.5631,15.99,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每周定投
2026-06-25,019548,buy,10.0,1.5631,6.4,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-06-26,019548,buy,10.0,1.5463,6.47,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-06-29,019548,buy,10.0,1.5788,6.33,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-06-30,019548,buy,10.0,1.6022,6.24,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-07-01,019548,buy,10.0,1.5777,6.34,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-07-02,019548,buy,10.0,1.5546,6.43,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-07-02,019548,buy,25.0,1.5546,16.08,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每周定投
2026-07-03,019548,buy,10.0,1.5537,6.44,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-07-06,019548,buy,10.0,1.5722,6.36,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-07-07,019548,buy,10.0,1.5461,6.47,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-07-08,019548,buy,10.0,1.5506,6.45,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-07-09,019548,buy,10.0,1.5735,6.36,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-07-10,019548,buy,10.0,1.5773,6.34,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-07-13,019548,buy,10.0,1.5488,6.46,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-07-14,019548,buy,10.0,1.5654,6.39,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-07-15,019548,buy,10.0,1.5594,6.41,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-07-17,019548,buy,10.0,1.5143,6.6,0.0,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-07-20,019548,buy,10.0,,,,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
2026-07-21,019548,buy,10.0,,,,招商纳斯达克100ETF发起式联接(QDII)C 每日定投
